subject	quantifier	percentage
subj_01	few	5
subj_02	few	20
subj_03	few	10
subj_04	few	8
subj_05	few	12
subj_06	few	15
subj_07	few	25
subj_08	few	10
subj_09	few	15
subj_10	few	10
subj_11	few	10
subj_12	few	10
subj_13	few	7
subj_14	few	15
subj_15	few	15
subj_16	few	6
subj_17	few	5
subj_18	few	10
subj_19	few	15
subj_20	few	10
subj_01	some	15
subj_02	some	35
subj_03	some	27.5
subj_04	some	20
subj_05	some	30
subj_06	some	35
subj_07	some	40
subj_08	some	30
subj_09	some	33
subj_10	some	33
subj_11	some	25
subj_12	some	40
subj_13	some	20
subj_14	some	40
subj_15	some	30
subj_16	some	14
subj_17	some	12.5
subj_18	some	25
subj_19	some	40
subj_20	some	20
subj_01	many	30
subj_02	many	70
subj_03	many	65
subj_04	many	51
subj_05	many	50
subj_06	many	60
subj_07	many	67.5
subj_08	many	60
subj_09	many	67
subj_10	many	67
subj_11	many	50
subj_12	many	70
subj_13	many	60
subj_14	many	69
subj_15	many	75
subj_16	many	75
subj_17	many	65
subj_18	many	70
subj_19	many	75
subj_20	many	80
subj_01	most	50
subj_02	most	80
subj_03	most	85
subj_04	most	80
subj_05	most	75
subj_06	most	90
subj_07	most	92.5
subj_08	most	80
subj_09	most	85
subj_10	most	90
subj_11	most	75
subj_12	most	90
subj_13	most	85
subj_14	most	90
subj_15	most	85
subj_16	most	91
subj_17	most	80
subj_18	most	90
subj_19	most	90
subj_20	most	90
