verbal_label	study_subgroup	n_subjects	mean_score	sd_score
superior	myers_warner1968_housewives	25	20.12	1.17
fantastic	myers_warner1968_housewives	25	20.12	0.83
tremendous	myers_warner1968_housewives	25	19.84	1.31
superb	myers_warner1968_housewives	25	19.8	1.19
excellent	myers_warner1968_housewives	25	19.4	1.73
terrific	myers_warner1968_housewives	25	19	2.45
outstanding	myers_warner1968_housewives	25	18.96	1.99
exceptionally good	myers_warner1968_housewives	25	18.56	2.36
extremely good	myers_warner1968_housewives	25	18.44	1.61
wonderful	myers_warner1968_housewives	25	17.32	2.36
unusually good	myers_warner1968_housewives	25	17.08	2.43
remarkably good	myers_warner1968_housewives	25	16.68	2.19
delightful	myers_warner1968_housewives	25	16.92	1.85
very good	myers_warner1968_housewives	25	15.44	2.77
fine	myers_warner1968_housewives	25	14.8	2.12
quite good	myers_warner1968_housewives	25	14.44	2.76
good	myers_warner1968_housewives	25	14.32	2.08
moderately good	myers_warner1968_housewives	25	13.44	2.23
pleasant	myers_warner1968_housewives	25	13.44	2.06
reasonably good	myers_warner1968_housewives	25	12.92	2.93
nice	myers_warner1968_housewives	25	12.56	2.14
fairly good	myers_warner1968_housewives	25	11.96	2.42
slightly good	myers_warner1968_housewives	25	11.84	2.19
acceptable	myers_warner1968_housewives	25	11.12	2.59
average	myers_warner1968_housewives	25	10.84	1.55
all right	myers_warner1968_housewives	25	10.76	1.42
o.k.	myers_warner1968_housewives	25	10.28	1.67
so-so	myers_warner1968_housewives	25	10.08	1.87
neutral	myers_warner1968_housewives	25	9.8	1.5
fair	myers_warner1968_housewives	25	9.52	2.06
mediocre	myers_warner1968_housewives	25	9.44	1.8
not very good	myers_warner1968_housewives	25	6.72	2.82
moderately poor	myers_warner1968_housewives	25	6.44	1.64
reasonably poor	myers_warner1968_housewives	25	6.32	2.46
slightly poor	myers_warner1968_housewives	25	5.92	1.96
poor	myers_warner1968_housewives	25	5.76	2.09
fairly poor	myers_warner1968_housewives	25	5.64	1.68
unpleasant	myers_warner1968_housewives	25	5.04	2.82
quite poor	myers_warner1968_housewives	25	4.8	1.44
bad	myers_warner1968_housewives	25	3.88	2.19
very poor	myers_warner1968_housewives	25	3.2	2.1
unusually poor	myers_warner1968_housewives	25	3.2	1.44
very poor	myers_warner1968_housewives	25	3.12	1.17
remarkably poor	myers_warner1968_housewives	25	2.88	1.74
unacceptable	myers_warner1968_housewives	25	2.64	2.04
exceptionally poor	myers_warner1968_housewives	25	2.52	1.19
extremely poor	myers_warner1968_housewives	25	2.08	1.19
awful	myers_warner1968_housewives	25	1.92	1.5
terrible	myers_warner1968_housewives	25	1.76	0.77
horrible	myers_warner1968_housewives	25	1.48	0.87
superior	myers_warner1968_executives	36	18.22	2.82
fantastic	myers_warner1968_executives	36	18.69	3.68
tremendous	myers_warner1968_executives	36	18.67	2.01
superb	myers_warner1968_executives	36	19	2.1
excellent	myers_warner1968_executives	36	18.72	2.25
terrific	myers_warner1968_executives	36	18.81	2.19
outstanding	myers_warner1968_executives	36	19.31	2.01
exceptionally good	myers_warner1968_executives	36	17.03	4.12
extremely good	myers_warner1968_executives	36	17.33	3.09
